Country,Model,1,2,3,4,5
Austria,ARIMA,3,4,0,0,0
Austria,Holt-Winters,1,2,3,1,0
Austria,LSTM,0,0,1,1,5
Austria,Prophet,0,1,3,1,2
Austria,XGBoost,3,0,0,4,0
Czech Republic,ARIMA,4,3,0,0,0
Czech Republic,Holt-Winters,0,2,5,0,0
Czech Republic,LSTM,0,0,0,1,6
Czech Republic,Prophet,1,0,2,4,0
Czech Republic,XGBoost,2,2,0,2,1
France,ARIMA,2,3,2,0,0
France,Holt-Winters,2,0,4,1,0
France,LSTM,0,0,0,1,6
France,Prophet,0,2,1,4,0
France,XGBoost,3,2,0,1,1
Germany,ARIMA,3,3,1,0,0
Germany,Holt-Winters,1,4,2,0,0
Germany,LSTM,0,0,0,3,4
Germany,Prophet,0,0,3,2,2
Germany,XGBoost,3,0,1,2,1
Hungary,ARIMA,4,3,0,0,0
Hungary,Holt-Winters,1,2,3,1,0
Hungary,LSTM,0,0,0,1,6
Hungary,Prophet,0,1,4,2,0
Hungary,XGBoost,2,1,0,3,1
Italy,ARIMA,2,4,1,0,0
Italy,Holt-Winters,1,2,4,0,0
Italy,LSTM,0,0,0,2,5
Italy,Prophet,0,0,2,4,1
Italy,XGBoost,4,1,0,1,1
Poland,ARIMA,3,3,1,0,0
Poland,Holt-Winters,2,2,2,1,0
Poland,LSTM,0,0,1,3,3
Poland,Prophet,1,1,3,2,0
Poland,XGBoost,1,1,0,1,4
Slovakia,ARIMA,4,3,0,0,0
Slovakia,Holt-Winters,2,2,3,0,0
Slovakia,LSTM,0,0,0,4,3
Slovakia,Prophet,0,1,4,1,1
Slovakia,XGBoost,1,1,0,2,3
